"","...1","Area","Item","Year","yield_hg_per_ha","average_rain_fall_mm_per_year","pesticides_tonnes","avg_temp","yield_last_year"
"1",87,"Albania","Maize",2011,59869,1485,1302.63,16.45,66790
"2",91,"Albania","Maize",2012,67290,1485,766.25,16.7,59869
"3",95,"Albania","Maize",2013,69533,1485,982.32,17.41,67290
"4",88,"Albania","Potatoes",2011,242211,1485,1302.63,16.45,231111
"5",92,"Albania","Potatoes",2012,250538,1485,766.25,16.7,242211
"6",96,"Albania","Potatoes",2013,260110,1485,982.32,17.41,250538
"7",89,"Albania","Soybeans",2011,18519,1485,1302.63,16.45,16667
"8",93,"Albania","Soybeans",2012,13333,1485,766.25,16.7,18519
"9",97,"Albania","Soybeans",2013,10000,1485,982.32,17.41,13333
"10",90,"Albania","Wheat",2011,42301,1485,1302.63,16.45,39905
"11",94,"Albania","Wheat",2012,41096,1485,766.25,16.7,42301
"12",98,"Albania","Wheat",2013,41292,1485,982.32,17.41,41096
"13",198,"Algeria","Maize",2011,23374,89,13861.76,17.79,25827
"14",203,"Algeria","Maize",2012,25583,89,17379.76,17.91,23374
"15",208,"Algeria","Maize",2013,33649,89,17278.65,17.65,25583
"16",199,"Algeria","Potatoes",2011,292806,89,13861.76,17.79,270526
"17",204,"Algeria","Potatoes",2012,304291,89,17379.76,17.91,292806
"18",209,"Algeria","Potatoes",2013,303218,89,17278.65,17.65,304291
"19",200,"Algeria","Rice, paddy",2011,16081,89,13861.76,17.79,15305
"20",205,"Algeria","Rice, paddy",2012,16667,89,17379.76,17.91,16081
"21",210,"Algeria","Rice, paddy",2013,17778,89,17278.65,17.65,16667
"22",201,"Algeria","Sorghum",2011,1e+05,89,13861.76,17.79,30286
"23",206,"Algeria","Sorghum",2012,206000,89,17379.76,17.91,1e+05
"24",211,"Algeria","Sorghum",2013,60000,89,17278.65,17.65,206000
"25",202,"Algeria","Wheat",2011,17405,89,13861.76,17.79,14838
"26",207,"Algeria","Wheat",2012,17639,89,17379.76,17.91,17405
"27",212,"Algeria","Wheat",2013,19100,89,17278.65,17.65,17639
"28",353,"Angola","Cassava",2011,133649,1010,40,24.15,155782
"29",361,"Angola","Cassava",2012,100073,1010,40,24.24,133649
"30",369,"Angola","Cassava",2013,140517,1010,40,24.55,100073
"31",354,"Angola","Maize",2011,7376,1010,40,24.15,7200
"32",362,"Angola","Maize",2012,7770,1010,40,24.24,7376
"33",370,"Angola","Maize",2013,9467,1010,40,24.55,7770
"34",355,"Angola","Potatoes",2011,81366,1010,40,24.15,87425
"35",363,"Angola","Potatoes",2012,69381,1010,40,24.24,81366
"36",371,"Angola","Potatoes",2013,63303,1010,40,24.55,69381
"37",356,"Angola","Rice, paddy",2011,8914,1010,40,24.15,7403
"38",364,"Angola","Rice, paddy",2012,7703,1010,40,24.24,8914
"39",372,"Angola","Rice, paddy",2013,12744,1010,40,24.55,7703
"40",357,"Angola","Sorghum",2011,3320,1010,40,24.15,2814
"41",365,"Angola","Sorghum",2012,998,1010,40,24.24,3320
"42",373,"Angola","Sorghum",2013,2415,1010,40,24.55,998
"43",358,"Angola","Soybeans",2011,5294,1010,40,24.15,4446
"44",366,"Angola","Soybeans",2012,1641,1010,40,24.24,5294
"45",374,"Angola","Soybeans",2013,4405,1010,40,24.55,1641
"46",359,"Angola","Sweet potatoes",2011,65512,1010,40,24.15,63001
"47",367,"Angola","Sweet potatoes",2012,52954,1010,40,24.24,65512
"48",375,"Angola","Sweet potatoes",2013,73409,1010,40,24.55,52954
"49",360,"Angola","Wheat",2011,10959,1010,40,24.15,10526
"50",368,"Angola","Wheat",2012,11258,1010,40,24.24,10959
"51",376,"Angola","Wheat",2013,9022,1010,40,24.55,11258
"52",697,"Argentina","Cassava",2011,1e+05,591,100424.62,17.58,101000
"53",713,"Argentina","Cassava",2012,1e+05,591,136185.08,18.18,1e+05
"54",729,"Argentina","Cassava",2013,99459,591,171945.54,16.45,1e+05
"55",699,"Argentina","Maize",2011,63503,591,100424.62,17.58,78040
"56",715,"Argentina","Maize",2012,57346,591,136185.08,18.18,63503
"57",731,"Argentina","Maize",2013,66037,591,171945.54,16.45,57346
"58",701,"Argentina","Potatoes",2011,286657,591,100424.62,17.58,289849
"59",717,"Argentina","Potatoes",2012,287821,591,136185.08,18.18,286657
"60",733,"Argentina","Potatoes",2013,288984,591,171945.54,16.45,287821
"61",703,"Argentina","Rice, paddy",2011,67901,591,100424.62,17.58,57646
"62",719,"Argentina","Rice, paddy",2012,66617,591,136185.08,18.18,67901
"63",735,"Argentina","Rice, paddy",2013,67187,591,171945.54,16.45,66617
"64",705,"Argentina","Sorghum",2011,44029,591,100424.62,17.58,48163
"65",721,"Argentina","Sorghum",2012,46534,591,136185.08,18.18,44029
"66",737,"Argentina","Sorghum",2013,40852,591,171945.54,16.45,46534
"67",707,"Argentina","Soybeans",2011,26053,591,100424.62,17.58,29053
"68",723,"Argentina","Soybeans",2012,22814,591,136185.08,18.18,26053
"69",739,"Argentina","Soybeans",2013,25391,591,171945.54,16.45,22814
"70",709,"Argentina","Sweet potatoes",2011,148754,591,100424.62,17.58,149382
"71",725,"Argentina","Sweet potatoes",2012,148126,591,136185.08,18.18,148754
"72",741,"Argentina","Sweet potatoes",2013,147498,591,171945.54,16.45,148126
"73",711,"Argentina","Wheat",2011,35063,591,100424.62,17.58,27113
"74",727,"Argentina","Wheat",2012,32199,591,136185.08,18.18,35063
"75",743,"Argentina","Wheat",2013,26581,591,171945.54,16.45,32199
"76",799,"Armenia","Maize",2011,54257,562,278.72,8.93,46724
"77",802,"Armenia","Maize",2012,62215,562,278.72,10.2,54257
"78",805,"Armenia","Maize",2013,67114,562,278.72,11.08,62215
"79",800,"Armenia","Potatoes",2011,194426,562,278.72,8.93,170146
"80",803,"Armenia","Potatoes",2012,207151,562,278.72,10.2,194426
"81",806,"Armenia","Potatoes",2013,215290,562,278.72,11.08,207151
"82",801,"Armenia","Wheat",2011,28800,562,278.72,8.93,21192
"83",804,"Armenia","Wheat",2012,26010,562,278.72,10.2,28800
"84",807,"Armenia","Wheat",2013,31273,562,278.72,11.08,26010
"85",1648,"Australia","Maize",2011,57390,534,47632.99,16.9,55593
"86",1690,"Australia","Maize",2012,64654,534,48687.88,16.84,57390
"87",1732,"Australia","Maize",2013,64441,534,45177.18,17.39,64654
"88",1654,"Australia","Potatoes",2011,350887,534,47632.99,16.9,351334
"89",1696,"Australia","Potatoes",2012,382592,534,48687.88,16.84,350887
"90",1738,"Australia","Potatoes",2013,385434,534,45177.18,17.39,382592
"91",1660,"Australia","Rice, paddy",2011,95441,534,47632.99,16.9,103895
"92",1702,"Australia","Rice, paddy",2012,89098,534,48687.88,16.84,95441
"93",1744,"Australia","Rice, paddy",2013,102177,534,45177.18,17.39,89098
"94",1666,"Australia","Sorghum",2011,30558,534,47632.99,16.9,30279
"95",1708,"Australia","Sorghum",2012,33960,534,48687.88,16.84,30558
"96",1750,"Australia","Sorghum",2013,34419,534,45177.18,17.39,33960
"97",1672,"Australia","Soybeans",2011,17136,534,47632.99,16.9,19042
"98",1714,"Australia","Soybeans",2012,22598,534,48687.88,16.84,17136
"99",1756,"Australia","Soybeans",2013,22336,534,45177.18,17.39,22598
"100",1678,"Australia","Sweet potatoes",2011,319252,534,47632.99,16.9,305974
"101",1720,"Australia","Sweet potatoes",2012,331853,534,48687.88,16.84,319252
"102",1762,"Australia","Sweet potatoes",2013,344391,534,45177.18,17.39,331853
"103",1684,"Australia","Wheat",2011,20301,534,47632.99,16.9,15729
"104",1726,"Australia","Wheat",2012,21511,534,48687.88,16.84,20301
"105",1768,"Australia","Wheat",2013,17609,534,45177.18,17.39,21511
"106",1855,"Austria","Maize",2011,112996,1110,3441.5,9.42,97247
"107",1860,"Austria","Maize",2012,107025,1110,3563.3,9.42,112996
"108",1865,"Austria","Maize",2013,81173,1110,3108.6,10.03,107025
"109",1856,"Austria","Potatoes",2011,357127,1110,3441.5,9.42,305703
"110",1861,"Austria","Potatoes",2012,305491,1110,3563.3,9.42,357127
"111",1866,"Austria","Potatoes",2013,285897,1110,3108.6,10.03,305491
"112",1857,"Austria","Sorghum",2011,67299,1110,3441.5,9.42,67666
"113",1862,"Austria","Sorghum",2012,68081,1110,3563.3,9.42,67299
"114",1867,"Austria","Sorghum",2013,52447,1110,3108.6,10.03,68081
"115",1858,"Austria","Soybeans",2011,28691,1110,3441.5,9.42,27501
"116",1863,"Austria","Soybeans",2012,28051,1110,3563.3,9.42,28691
"117",1868,"Austria","Soybeans",2013,19697,1110,3108.6,10.03,28051
"118",1859,"Austria","Wheat",2011,58549,1110,3441.5,9.42,50117
"119",1864,"Austria","Wheat",2012,41388,1110,3563.3,9.42,58549
"120",1869,"Austria","Wheat",2013,53743,1110,3108.6,10.03,41388
"121",1969,"Azerbaijan","Maize",2011,45460,447,461.84,11.79,45551
"122",1974,"Azerbaijan","Maize",2012,51029,447,516.35,13,45460
"123",1980,"Azerbaijan","Maize",2013,53903,447,489.8,14.12,51029
"124",1970,"Azerbaijan","Potatoes",2011,143973,447,461.84,11.79,144945
"125",1975,"Azerbaijan","Potatoes",2012,146740,447,516.35,13,143973
"126",1981,"Azerbaijan","Potatoes",2013,151999,447,489.8,14.12,146740
"127",1971,"Azerbaijan","Rice, paddy",2011,20947,447,461.84,11.79,23963
"128",1976,"Azerbaijan","Rice, paddy",2012,22249,447,516.35,13,20947
"129",1982,"Azerbaijan","Rice, paddy",2013,22808,447,489.8,14.12,22249
"130",1977,"Azerbaijan","Sorghum",2012,1500,447,516.35,13,12000
"131",1983,"Azerbaijan","Sorghum",2013,5000,447,489.8,14.12,1500
"132",1972,"Azerbaijan","Soybeans",2011,6717,447,461.84,11.79,7136
"133",1978,"Azerbaijan","Soybeans",2012,6587,447,516.35,13,6717
"134",1984,"Azerbaijan","Soybeans",2013,6457,447,489.8,14.12,6587
"135",1973,"Azerbaijan","Wheat",2011,24376,447,461.84,11.79,19381
"136",1979,"Azerbaijan","Wheat",2012,26144,447,516.35,13,24376
"137",1985,"Azerbaijan","Wheat",2013,26719,447,489.8,14.12,26144
"138",2041,"Bahamas","Cassava",2011,225128,1292,268.2,25.76,221795
"139",2045,"Bahamas","Cassava",2012,223000,1292,268.2,25.46,225128
"140",2049,"Bahamas","Cassava",2013,221509,1292,268.2,25.88,223000
"141",2042,"Bahamas","Maize",2011,73085,1292,268.2,25.76,75333
"142",2046,"Bahamas","Maize",2012,73404,1292,268.2,25.46,73085
"143",2050,"Bahamas","Maize",2013,74465,1292,268.2,25.88,73404
"144",2043,"Bahamas","Plantains and others",2011,78182,1292,268.2,25.76,79048
"145",2047,"Bahamas","Plantains and others",2012,77391,1292,268.2,25.46,78182
"146",2051,"Bahamas","Plantains and others",2013,76928,1292,268.2,25.88,77391
"147",2044,"Bahamas","Sweet potatoes",2011,34757,1292,268.2,25.76,34658
"148",2048,"Bahamas","Sweet potatoes",2012,34855,1292,268.2,25.46,34757
"149",2052,"Bahamas","Sweet potatoes",2013,34953,1292,268.2,25.88,34855
"150",2079,"Bahrain","Potatoes",2011,171162,83,9.14,27.01,155598
"151",2080,"Bahrain","Potatoes",2012,177812,83,9.14,27.45,171162
"152",2081,"Bahrain","Potatoes",2013,179569,83,9.14,27.86,177812
"153",2334,"Bangladesh","Maize",2011,61512,2666,14798.28,25.8,58378
"154",2348,"Bangladesh","Maize",2012,65838,2666,13289.18,26.28,61512
"155",2362,"Bangladesh","Maize",2013,65953,2666,15330.16,26.59,65838
"156",2336,"Bangladesh","Potatoes",2011,180931,2666,14798.28,25.8,182299
"157",2350,"Bangladesh","Potatoes",2012,190627,2666,13289.18,26.28,180931
"158",2364,"Bangladesh","Potatoes",2013,193790,2666,15330.16,26.59,190627
"159",2338,"Bangladesh","Rice, paddy",2011,43917,2666,14798.28,25.8,43422
"160",2352,"Bangladesh","Rice, paddy",2012,44206,2666,13289.18,26.28,43917
"161",2366,"Bangladesh","Rice, paddy",2013,45317,2666,15330.16,26.59,44206
"162",2340,"Bangladesh","Sorghum",2011,14667,2666,14798.28,25.8,12806
"163",2354,"Bangladesh","Sorghum",2012,13452,2666,13289.18,26.28,14667
"164",2368,"Bangladesh","Sorghum",2013,11343,2666,15330.16,26.59,13452
"165",2342,"Bangladesh","Soybeans",2011,15898,2666,14798.28,25.8,17090
"166",2356,"Bangladesh","Soybeans",2012,15814,2666,13289.18,26.28,15898
"167",2370,"Bangladesh","Soybeans",2013,14729,2666,15330.16,26.59,15814
"168",2344,"Bangladesh","Sweet potatoes",2011,97962,2666,14798.28,25.8,98688
"169",2358,"Bangladesh","Sweet potatoes",2012,102939,2666,13289.18,26.28,97962
"170",2372,"Bangladesh","Sweet potatoes",2013,97019,2666,15330.16,26.59,102939
"171",2346,"Bangladesh","Wheat",2011,26012,2666,14798.28,25.8,23959
"172",2360,"Bangladesh","Wheat",2012,27789,2666,13289.18,26.28,26012
"173",2374,"Bangladesh","Wheat",2013,30138,2666,15330.16,26.59,27789
"174",2430,"Belarus","Maize",2011,65950,618,8306.31,7.29,49306
"175",2433,"Belarus","Maize",2012,50407,618,9578.67,6.33,65950
"176",2436,"Belarus","Maize",2013,55656,618,9163.51,7.83,50407
"177",2431,"Belarus","Potatoes",2011,209564,618,8306.31,7.29,213518
"178",2434,"Belarus","Potatoes",2012,208131,618,9578.67,6.33,209564
"179",2437,"Belarus","Potatoes",2013,193536,618,9163.51,7.83,208131
"180",2432,"Belarus","Wheat",2011,33088,618,8306.31,7.29,28851
"181",2435,"Belarus","Wheat",2012,35822,618,9578.67,6.33,33088
"182",2438,"Belarus","Wheat",2013,30610,618,9163.51,7.83,35822
"183",2469,"Belgium","Maize",2011,119360,847,5740.44,11.69,119283
"184",2472,"Belgium","Maize",2012,102438,847,6139.3,10.68,119360
"185",2475,"Belgium","Maize",2013,111500,847,5905.6,10.36,102438
"186",2470,"Belgium","Potatoes",2011,501412,847,5740.44,11.69,422676
"187",2473,"Belgium","Potatoes",2012,454233,847,6139.3,10.68,501412
"188",2476,"Belgium","Potatoes",2013,454642,847,5905.6,10.36,454233
"189",2471,"Belgium","Wheat",2011,84046,847,5740.44,11.69,88272
"190",2474,"Belgium","Wheat",2012,84522,847,6139.3,10.68,84046
"191",2477,"Belgium","Wheat",2013,89349,847,5905.6,10.36,84522
"192",2536,"Botswana","Maize",2011,3473,416,17,19.19,1617
"193",2538,"Botswana","Maize",2012,1370,416,17,19.83,3473
"194",2540,"Botswana","Maize",2013,849,416,17,18.69,1370
"195",2537,"Botswana","Sorghum",2011,6690,416,17,19.19,5701
"196",2539,"Botswana","Sorghum",2012,6779,416,17,19.83,6690
"197",2541,"Botswana","Sorghum",2013,3168,416,17,18.69,6779
"198",4522,"Brazil","Cassava",2011,146230,1761,345026,21.74,139499
"199",4621,"Brazil","Cassava",2012,136118,1761,346583,22.16,146230
"200",4720,"Brazil","Cassava",2013,140795,1761,367778,21.59,136118
"201",4533,"Brazil","Maize",2011,42107,1761,345026,21.74,43667
"202",4632,"Brazil","Maize",2012,50057,1761,346583,22.16,42107
"203",4731,"Brazil","Maize",2013,52536,1761,367778,21.59,50057
"204",4544,"Brazil","Potatoes",2011,262528,1761,345026,21.74,258859
"205",4643,"Brazil","Potatoes",2012,274457,1761,346583,22.16,262528
"206",4742,"Brazil","Potatoes",2013,277517,1761,367778,21.59,274457
"207",4555,"Brazil","Rice, paddy",2011,48956,1761,345026,21.74,41271
"208",4654,"Brazil","Rice, paddy",2012,47860,1761,346583,22.16,48956
"209",4753,"Brazil","Rice, paddy",2013,50071,1761,367778,21.59,47860
"210",4566,"Brazil","Sorghum",2011,25497,1761,345026,21.74,23172
"211",4665,"Brazil","Sorghum",2012,29317,1761,346583,22.16,25497
"212",4764,"Brazil","Sorghum",2013,26817,1761,367778,21.59,29317
"213",4577,"Brazil","Soybeans",2011,31214,1761,345026,21.74,29475
"214",4676,"Brazil","Soybeans",2012,26366,1761,346583,22.16,31214
"215",4775,"Brazil","Soybeans",2013,29285,1761,367778,21.59,26366
"216",4588,"Brazil","Sweet potatoes",2011,124266,1761,345026,21.74,118459
"217",4687,"Brazil","Sweet potatoes",2012,121926,1761,346583,22.16,124266
"218",4786,"Brazil","Sweet potatoes",2013,130913,1761,367778,21.59,121926
"219",4599,"Brazil","Wheat",2011,26602,1761,345026,21.74,28288
"220",4698,"Brazil","Wheat",2012,23100,1761,346583,22.16,26602
"221",4797,"Brazil","Wheat",2013,27491,1761,367778,21.59,23100
"222",4610,"Brazil","Yams",2011,96414,1761,345026,21.74,95332
"223",4709,"Brazil","Yams",2012,97619,1761,346583,22.16,96414
"224",4808,"Brazil","Yams",2013,96078,1761,367778,21.59,97619
"225",4939,"Bulgaria","Maize",2011,55310,608,1459.75,9.17,62512
"226",4945,"Bulgaria","Maize",2012,36800,608,1331,9.99,55310
"227",4951,"Bulgaria","Maize",2013,63943,608,1197,11.26,36800
"228",4940,"Bulgaria","Potatoes",2011,143236,608,1459.75,9.17,181967
"229",4946,"Bulgaria","Potatoes",2012,101515,608,1331,9.99,143236
"230",4952,"Bulgaria","Potatoes",2013,146125,608,1197,11.26,101515
"231",4941,"Bulgaria","Rice, paddy",2011,50563,608,1459.75,9.17,47952
"232",4947,"Bulgaria","Rice, paddy",2012,55605,608,1331,9.99,50563
"233",4953,"Bulgaria","Rice, paddy",2013,54945,608,1197,11.26,55605
"234",4942,"Bulgaria","Sorghum",2011,19536,608,1459.75,9.17,24314
"235",4948,"Bulgaria","Sorghum",2012,20205,608,1331,9.99,19536
"236",4954,"Bulgaria","Sorghum",2013,26792,608,1197,11.26,20205
"237",4943,"Bulgaria","Soybeans",2011,11565,608,1459.75,9.17,22717
"238",4949,"Bulgaria","Soybeans",2012,7903,608,1331,9.99,11565
"239",4955,"Bulgaria","Soybeans",2013,17976,608,1197,11.26,7903
"240",4944,"Bulgaria","Wheat",2011,39197,608,1459.75,9.17,36185
"241",4950,"Bulgaria","Wheat",2012,37596,608,1331,9.99,39197
"242",4956,"Bulgaria","Wheat",2013,41885,608,1197,11.26,37596
"243",5117,"Burkina Faso","Cassava",2011,13548,748,843,29.03,15659
"244",5125,"Burkina Faso","Cassava",2012,13636,748,843,28.67,13548
"245",5133,"Burkina Faso","Cassava",2013,13594,748,843,29.41,13636
"246",5118,"Burkina Faso","Maize",2011,15356,748,843,29.03,14342
"247",5126,"Burkina Faso","Maize",2012,18386,748,843,28.67,15356
"248",5134,"Burkina Faso","Maize",2013,17353,748,843,29.41,18386
"249",5119,"Burkina Faso","Potatoes",2011,19159,748,843,29.03,18998
"250",5127,"Burkina Faso","Potatoes",2012,19320,748,843,28.67,19159
"251",5135,"Burkina Faso","Potatoes",2013,19481,748,843,29.41,19320
"252",5120,"Burkina Faso","Rice, paddy",2011,17676,748,843,29.03,20238
"253",5128,"Burkina Faso","Rice, paddy",2012,23336,748,843,28.67,17676
"254",5136,"Burkina Faso","Rice, paddy",2013,21993,748,843,29.41,23336
"255",5121,"Burkina Faso","Sorghum",2011,8952,748,843,29.03,10036
"256",5129,"Burkina Faso","Sorghum",2012,10755,748,843,28.67,8952
"257",5137,"Burkina Faso","Sorghum",2013,10409,748,843,29.41,10755
"258",5122,"Burkina Faso","Soybeans",2011,8873,748,843,29.03,12562
"259",5130,"Burkina Faso","Soybeans",2012,10949,748,843,28.67,8873
"260",5138,"Burkina Faso","Soybeans",2013,13512,748,843,29.41,10949
"261",5123,"Burkina Faso","Sweet potatoes",2011,190326,748,843,29.03,102743
"262",5131,"Burkina Faso","Sweet potatoes",2012,83073,748,843,28.67,190326
"263",5139,"Burkina Faso","Sweet potatoes",2013,146793,748,843,29.41,83073
"264",5124,"Burkina Faso","Yams",2011,74827,748,843,29.03,66518
"265",5132,"Burkina Faso","Yams",2012,90785,748,843,28.67,74827
"266",5140,"Burkina Faso","Yams",2013,58594,748,843,29.41,90785
"267",5321,"Burundi","Cassava",2011,39948,1274,75.64,21.23,40629
"268",5330,"Burundi","Cassava",2012,42092,1274,98.59,21.44,39948
"269",5339,"Burundi","Cassava",2013,68749,1274,956.06,21.53,42092
"270",5322,"Burundi","Maize",2011,11023,1274,75.64,21.23,10511
"271",5331,"Burundi","Maize",2012,11763,1274,98.59,21.44,11023
"272",5340,"Burundi","Maize",2013,13218,1274,956.06,21.53,11763
"273",5323,"Burundi","Potatoes",2011,45493,1274,75.64,21.23,42521
"274",5332,"Burundi","Potatoes",2012,31165,1274,98.59,21.44,45493
"275",5341,"Burundi","Potatoes",2013,62252,1274,956.06,21.53,31165
"276",5324,"Burundi","Rice, paddy",2011,26876,1274,75.64,21.23,28268
"277",5333,"Burundi","Rice, paddy",2012,21041,1274,98.59,21.44,26876
"278",5342,"Burundi","Rice, paddy",2013,19130,1274,956.06,21.53,21041
"279",5325,"Burundi","Sorghum",2011,8205,1274,75.64,21.23,10701
"280",5334,"Burundi","Sorghum",2012,5890,1274,98.59,21.44,8205
"281",5343,"Burundi","Sorghum",2013,6513,1274,956.06,21.53,5890
"282",5326,"Burundi","Soybeans",2011,7764,1274,75.64,21.23,7752
"283",5335,"Burundi","Soybeans",2012,7283,1274,98.59,21.44,7764
"284",5344,"Burundi","Soybeans",2013,9554,1274,956.06,21.53,7283
"285",5327,"Burundi","Sweet potatoes",2011,78801,1274,75.64,21.23,77508
"286",5336,"Burundi","Sweet potatoes",2012,65035,1274,98.59,21.44,78801
"287",5345,"Burundi","Sweet potatoes",2013,104528,1274,956.06,21.53,65035
"288",5328,"Burundi","Wheat",2011,7129,1274,75.64,21.23,7393
"289",5337,"Burundi","Wheat",2012,4448,1274,98.59,21.44,7129
"290",5346,"Burundi","Wheat",2013,7276,1274,956.06,21.53,4448
"291",5329,"Burundi","Yams",2011,68989,1274,75.64,21.23,64079
"292",5338,"Burundi","Yams",2012,90258,1274,98.59,21.44,68989
"293",5347,"Burundi","Yams",2013,79279,1274,956.06,21.53,90258
"294",5548,"Cameroon","Cassava",2011,145720,1604,1372.47,25.25,140636
"295",5558,"Cameroon","Cassava",2012,115388,1604,1372.47,25.18,145720
"296",5568,"Cameroon","Cassava",2013,147894,1604,1372.47,25.45,115388
"297",5549,"Cameroon","Maize",2011,20240,1604,1372.47,25.25,19741
"298",5559,"Cameroon","Maize",2012,17152,1604,1372.47,25.18,20240
"299",5569,"Cameroon","Maize",2013,19787,1604,1372.47,25.45,17152
"300",5550,"Cameroon","Plantains and others",2011,110857,1604,1372.47,25.25,122250
"301",5560,"Cameroon","Plantains and others",2012,108526,1604,1372.47,25.18,110857
"302",5570,"Cameroon","Plantains and others",2013,119444,1604,1372.47,25.45,108526
"303",5551,"Cameroon","Potatoes",2011,73940,1604,1372.47,25.25,44088
"304",5561,"Cameroon","Potatoes",2012,103444,1604,1372.47,25.18,73940
"305",5571,"Cameroon","Potatoes",2013,133560,1604,1372.47,25.45,103444
"306",5552,"Cameroon","Rice, paddy",2011,13464,1604,1372.47,25.25,10936
"307",5562,"Cameroon","Rice, paddy",2012,14217,1604,1372.47,25.18,13464
"308",5572,"Cameroon","Rice, paddy",2013,11641,1604,1372.47,25.45,14217
"309",5553,"Cameroon","Sorghum",2011,15038,1604,1372.47,25.25,14257
"310",5563,"Cameroon","Sorghum",2012,14883,1604,1372.47,25.18,15038
"311",5573,"Cameroon","Sorghum",2013,15074,1604,1372.47,25.45,14883
"312",5554,"Cameroon","Soybeans",2011,8276,1604,1372.47,25.25,8437
"313",5564,"Cameroon","Soybeans",2012,13980,1604,1372.47,25.18,8276
"314",5574,"Cameroon","Soybeans",2013,13228,1604,1372.47,25.45,13980
"315",5555,"Cameroon","Sweet potatoes",2011,49900,1604,1372.47,25.25,54179
"316",5565,"Cameroon","Sweet potatoes",2012,60000,1604,1372.47,25.18,49900
"317",5575,"Cameroon","Sweet potatoes",2013,54288,1604,1372.47,25.45,60000
"318",5556,"Cameroon","Wheat",2011,13971,1604,1372.47,25.25,13846
"319",5566,"Cameroon","Wheat",2012,12308,1604,1372.47,25.18,13971
"320",5576,"Cameroon","Wheat",2013,12879,1604,1372.47,25.45,12308
"321",5557,"Cameroon","Yams",2011,101354,1604,1372.47,25.25,111590
"322",5567,"Cameroon","Yams",2012,112643,1604,1372.47,25.18,101354
"323",5577,"Cameroon","Yams",2013,103844,1604,1372.47,25.45,112643
"324",6058,"Canada","Maize",2011,88946,537,62107.2,8.34,97385
"325",6082,"Canada","Maize",2012,92109,537,73508.9,9.24,88946
"326",6106,"Canada","Maize",2013,95878,537,81659.8,9.19,92109
"327",6064,"Canada","Potatoes",2011,120376,537,62107.2,8.34,128373
"328",6088,"Canada","Potatoes",2012,124735,537,73508.9,9.24,120376
"329",6112,"Canada","Potatoes",2013,132270,537,81659.8,9.19,124735
"330",6070,"Canada","Soybeans",2011,28738,537,62107.2,8.34,29515
"331",6094,"Canada","Soybeans",2012,30294,537,73508.9,9.24,28738
"332",6118,"Canada","Soybeans",2013,28810,537,81659.8,9.19,30294
"333",6076,"Canada","Wheat",2011,29568,537,62107.2,8.34,28085
"334",6100,"Canada","Wheat",2012,28645,537,73508.9,9.24,29568
"335",6124,"Canada","Wheat",2013,35943,537,81659.8,9.19,28645
"336",6270,"Central African Republic","Cassava",2011,28132,1342,22.87,25.23,28175
"337",6277,"Central African Republic","Cassava",2012,28132,1342,22.87,25.28,28132
"338",6284,"Central African Republic","Cassava",2013,28375,1342,22.87,25.69,28132
"339",6271,"Central African Republic","Maize",2011,16804,1342,22.87,25.23,16148
"340",6278,"Central African Republic","Maize",2012,17505,1342,22.87,25.28,16804
"341",6285,"Central African Republic","Maize",2013,12446,1342,22.87,25.69,17505
"342",6272,"Central African Republic","Plantains and others",2011,28475,1342,22.87,25.23,29333
"343",6279,"Central African Republic","Plantains and others",2012,28333,1342,22.87,25.28,28475
"344",6286,"Central African Republic","Plantains and others",2013,28626,1342,22.87,25.69,28333
"345",6273,"Central African Republic","Potatoes",2011,11574,1342,22.87,25.23,11650
"346",6280,"Central African Republic","Potatoes",2012,11818,1342,22.87,25.28,11574
"347",6287,"Central African Republic","Potatoes",2013,11818,1342,22.87,25.69,11818
"348",6274,"Central African Republic","Rice, paddy",2011,16000,1342,22.87,25.23,23353
"349",6281,"Central African Republic","Rice, paddy",2012,30000,1342,22.87,25.28,16000
"350",6288,"Central African Republic","Rice, paddy",2013,18665,1342,22.87,25.69,30000
"351",6275,"Central African Republic","Sorghum",2011,11707,1342,22.87,25.23,9269
"352",6282,"Central African Republic","Sorghum",2012,11707,1342,22.87,25.28,11707
"353",6289,"Central African Republic","Sorghum",2013,10529,1342,22.87,25.69,11707
"354",6276,"Central African Republic","Yams",2011,78326,1342,22.87,25.23,79091
"355",6283,"Central African Republic","Yams",2012,79310,1342,22.87,25.28,78326
"356",6290,"Central African Republic","Yams",2013,78333,1342,22.87,25.69,79310
"357",6491,"Chile","Maize",2011,119978,1522,9830.72,13.25,110808
"358",6501,"Chile","Maize",2012,107224,1522,9830.72,13.48,119978
"359",6511,"Chile","Maize",2013,106321,1522,9830.72,13.07,107224
"360",6493,"Chile","Potatoes",2011,312460,1522,9830.72,13.25,212986
"361",6503,"Chile","Potatoes",2012,263269,1522,9830.72,13.48,312460
"362",6513,"Chile","Potatoes",2013,233767,1522,9830.72,13.07,263269
"363",6495,"Chile","Rice, paddy",2011,51899,1522,9830.72,13.25,38599
"364",6505,"Chile","Rice, paddy",2012,62435,1522,9830.72,13.48,51899
"365",6515,"Chile","Rice, paddy",2013,62051,1522,9830.72,13.07,62435
"366",6497,"Chile","Sweet potatoes",2011,99022,1522,9830.72,13.25,92862
"367",6507,"Chile","Sweet potatoes",2012,107692,1522,9830.72,13.48,99022
"368",6517,"Chile","Sweet potatoes",2013,107692,1522,9830.72,13.07,107692
